clinic_id,name,location
1,Family First - Main,New York
2,Prime Care - South,Austin
3,Valley Family - North,Portland
4,Westside Health - West,Chicago
5,Community Health - East,New York
6,Downtown Medical - Main,Austin
7,Valley Family - West,Los Angeles
8,Downtown Medical - West,Austin
9,Prime Care - West,Miami
10,Valley Family - East,Los Angeles
11,City Center - Main,Dallas
12,Sunrise Medical - North,Portland
13,Riverside Primary - South,Seattle
14,North Hills Clinic - North,Dallas
15,Lakeside Wellness - Main,Chicago
16,Riverside Primary - Main,Boston
17,Lakeside Wellness - West,Seattle
18,Sunrise Medical - Main,Portland
19,Central Care - West,Chicago
20,Riverside Primary - Main,Phoenix
21,City Center - West,Houston
22,Lakeside Wellness - West,Austin
23,Prime Care - Main,New York
24,Family First - North,Dallas
25,City Center - Main,Houston
26,Valley Family - Main,Miami
27,City Center - East,Atlanta
28,Lakeside Wellness - North,Boston
29,Lakeside Wellness - North,Atlanta
30,City Center - Main,Los Angeles
31,Family First - North,Phoenix
32,Prime Care - North,San Francisco
33,Central Care - East,Seattle
34,Family First - West,Austin
35,Family First - South,Houston
36,Sunrise Medical - Main,Austin
37,Downtown Medical - South,Miami
38,City Center - Main,Austin
39,Community Health - South,Austin
40,Family First - East,Miami
41,Family First - East,San Francisco
42,City Center - North,Austin
43,Prime Care - West,Phoenix
44,City Center - West,Miami
45,Community Health - East,Boston
46,Valley Family - North,Phoenix
47,Central Care - Main,Dallas
48,Downtown Medical - Main,San Francisco
49,Family First - North,Dallas
50,Family First - East,Los Angeles
